Waypoint_Timestamp_ns,AI_Inference_Latency_ms
1761123133269296218,1162.61
1761123134038994048,697.59
1761123134477974357,417.80
1761123135036814813,533.37
1761123135609711354,520.60
1761123135926403239,298.82
1761123136421903005,468.02
1761123136663459605,226.18
1761123136845596707,174.42
1761123137051867386,198.73
1761123137246343162,184.22
1761123137450973296,174.08
1761123137651246417,184.80
1761123137853071270,188.87
1761123138051375388,185.71
1761123138256705757,198.89
1761123138469870843,204.97
1761123138644175542,167.31
1761123138879752753,226.04
1761123139081352326,190.07
1761123139206255323,119.36
1761123139561988465,348.83
1761123139807927406,212.11
1761123139955265140,141.20
1761123140116515924,154.30
1761123140314638689,189.59
1761123140511338254,189.41
1761123140689891041,171.56
1761123140869079732,173.01
1761123141061387892,184.25
1761123141446193945,374.24
1761123141644165093,190.17
1761123141838438648,187.23
1761123142034661294,185.74
1761123142228379914,181.86
1761123142410611867,175.61
1761123142584522273,166.37
1761123142725649881,133.30
1761123142887564006,155.03
1761123143041040009,144.88
1761123143217147016,168.62
1761123143382858725,156.93
1761123143547666914,159.30
1761123143729418537,177.18
1761123143901974896,164.46
1761123144055180256,145.93
1761123144198752679,137.44
1761123144418672233,204.93
1761123144688465666,259.31
1761123144942411177,247.46
1761123145185959409,233.74
1761123145385693595,187.67
1761123145576963808,183.64
1761123145799345781,202.95
1761123146014171339,204.60
1761123146230654190,205.22
1761123146439663263,196.66
1761123146644923145,196.16
1761123146814175983,160.80
1761123146978739621,158.89
1761123147172789179,188.09
1761123147464009186,280.65
1761123147698068890,223.11
1761123148061504503,351.76
1761123148274736455,199.86
1761123148432224031,153.36
1761123148590395029,150.17
1761123148767346483,171.09
1761123148968761402,191.04
1761123149134973948,157.05
1761123149286920693,143.78
1761123149473434158,181.98
1761123149626039807,146.08
1761123149808177516,174.88
1761123150087203504,271.45
1761123150296433245,200.27
1761123150568474742,261.22
1761123150780571265,199.86
1761123150981846010,188.94
1761123151180116392,188.38
1761123151358649486,173.01
1761123151522406882,156.13
1761123151678292228,147.49
1761123151851167923,167.68
1761123152025638137,164.43
1761123152199223466,164.69
1761123152372300512,165.88
1761123152539140699,161.09
1761123152704267258,161.21
1761123152901827392,191.95
1761123153080977184,171.33
1761123153242929835,154.22
1761123153508903526,261.52
1761123153749470555,231.91
1761123154013846742,256.93
1761123154289486848,263.32
1761123154478969001,181.70
1761123154657597419,169.23
1761123154810409371,143.54
1761123154986026182,169.90
1761123155137846824,143.95
1761123155275420028,129.09
1761123155448998917,166.74
1761123155633594046,177.03
1761123155828038142,186.98
1761123155977935478,140.12
1761123156153840095,165.58
1761123156372016661,207.28
1761123156619525236,237.13
1761123156870184716,237.51
1761123157073603898,195.35
1761123157311408976,229.47
1761123157507216712,173.72
1761123157676186796,159.95
1761123157850593027,170.32
1761123158033273198,176.51
1761123158311567111,260.67
1761123158565974404,243.67
1761123158798659493,221.37
1761123158959347359,155.19
1761123159143527819,180.32
1761123159344449360,190.30
1761123159597392077,247.33
1761123159817437994,212.66
1761123160046519430,222.03
1761123160370942770,308.95
1761123160593308953,213.68
1761123160807400584,201.35
1761123161027635856,203.09
1761123161263219476,223.56
1761123161484269915,211.21
1761123161727517936,232.83
1761123161961080302,221.51
1761123162187617066,213.73
1761123162411888890,213.29
1761123162608565836,188.48
1761123162814972084,196.69
1761123163064051947,228.68
1761123163252560052,183.75
1761123163445735813,177.87
1761123163627418216,170.70
1761123163800059912,159.93
1761123163968018166,161.92
1761123164155448011,180.20
1761123164329800573,165.71
1761123164513048048,173.66
1761123164674210161,154.88
1761123164847204727,167.67
1761123165021771460,165.01
1761123165199458195,171.73
1761123165429328511,222.48
1761123165646154855,203.54
1761123165839850089,184.70
1761123166075943365,224.00
1761123166279089438,193.04
1761123166417612692,131.86
1761123166583853690,159.58
1761123166712777280,124.22
1761123166874556874,155.71
1761123167075482067,187.61
1761123167266012138,180.37
1761123167436801910,162.74
1761123167627319063,184.14
1761123167820922577,183.09
1761123167999867199,172.81
1761123168167292755,158.96
1761123168359390676,185.22
1761123168587888264,221.62
1761123168826897175,226.52
1761123169074313672,235.83
1761123169281311207,198.65
1761123169458768584,169.82
