waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112251408801237,1761112251415864172,7.06,,,
0,1761112251657758470,1761112251661083619,3.33,,,
0,1761112251871008975,1761112251873980264,2.97,,,
0,1761112252078021784,1761112252311073252,233.05,,,
0,1761112252264495613,1761112252334946851,70.45,,,
0,1761112252469553126,1761112252471282260,1.73,,,
0,1761112252469553126,1761112252471282260,1.73,1761112252629747255,160.19,N/A
0,1761112252678526734,1761112252679871649,1.34,,,
0,1761112252678526734,1761112252679871649,1.34,1761112252702217561,23.69,N/A
0,1761112252865914006,1761112252875178699,9.26,,,
0,1761112252865914006,1761112252875178699,9.26,1761112252896231660,30.32,N/A
0,1761112253071306274,1761112253078114647,6.81,,,
0,1761112253071306274,1761112253078114647,6.81,1761112253111895940,40.59,N/A
0,1761112253281020059,1761112253288363691,7.34,,,
0,1761112253281020059,1761112253288363691,7.34,1761112253323551144,42.53,N/A
0,1761112253487897340,1761112253491104678,3.21,,,
0,1761112253487897340,1761112253491104678,3.21,1761112253505423616,17.53,N/A
0,1761112253679491388,1761112253684823630,5.33,,,
0,1761112253679491388,1761112253684823630,5.33,1761112253718268071,38.78,N/A
0,1761112253923988481,1761112253926468913,2.48,,,
0,1761112253923988481,1761112253926468913,2.48,1761112253956051049,32.06,N/A
0,1761112254124529024,1761112254129914959,5.39,,,
0,1761112254124529024,1761112254129914959,5.39,1761112254141352058,16.82,N/A
0,1761112254387695283,1761112254395530979,7.84,,,
0,1761112254387695283,1761112254395530979,7.84,1761112254534284162,146.59,N/A
0,1761112254626121311,1761112254628903614,2.78,,,
0,1761112254626121311,1761112254628903614,2.78,1761112254742428278,116.31,N/A
0,1761112254812536942,1761112254823940720,11.40,,,
0,1761112254812536942,1761112254823940720,11.40,1761112254867747178,55.21,N/A
0,1761112254998156399,1761112254999394094,1.24,,,
0,1761112254998156399,1761112254999394094,1.24,1761112255011810084,13.65,N/A
0,1761112255194257327,1761112255200905341,6.65,,,
0,1761112255194257327,1761112255200905341,6.65,1761112255213128516,18.87,N/A
0,1761112255397370941,1761112255399821887,2.45,,,
0,1761112255397370941,1761112255399821887,2.45,1761112255433405957,36.04,N/A
0,1761112255594396483,1761112255601851072,7.45,,,
0,1761112255594396483,1761112255601851072,7.45,1761112255695468827,101.07,N/A
0,1761112255778780680,1761112255779949932,1.17,,,
0,1761112255778780680,1761112255779949932,1.17,1761112255811481935,32.70,N/A
0,1761112255958399735,1761112255959678362,1.28,,,
0,1761112255958399735,1761112255959678362,1.28,1761112255983282310,24.88,N/A
0,1761112256143564396,1761112256144514537,0.95,,,
0,1761112256143564396,1761112256144514537,0.95,1761112256177295618,33.73,N/A
0,1761112256385655850,1761112256400686537,15.03,,,
0,1761112256385655850,1761112256400686537,15.03,1761112256418362121,32.71,N/A
0,1761112256619131700,1761112256625360820,6.23,,,
0,1761112256619131700,1761112256625360820,6.23,1761112256770431531,151.30,N/A
0,1761112256829464095,1761112256835899543,6.44,,,
0,1761112256829464095,1761112256835899543,6.44,1761112256860097960,30.63,N/A
0,1761112257091814091,1761112257096015884,4.20,,,
0,1761112257091814091,1761112257096015884,4.20,1761112257234957063,143.14,N/A
0,1761112257277265662,1761112257290899077,13.63,,,
0,1761112257277265662,1761112257290899077,13.63,1761112257293188768,15.92,N/A
0,1761112257500311497,1761112257512628078,12.32,,,
0,1761112257500311497,1761112257512628078,12.32,1761112257526347603,26.04,N/A
0,1761112257734066363,1761112257741695787,7.63,,,
0,1761112257734066363,1761112257741695787,7.63,1761112257778344310,44.28,N/A
0,1761112257898761548,1761112257899970706,1.21,,,
0,1761112257898761548,1761112257899970706,1.21,1761112257905022856,6.26,N/A
0,1761112258079577107,1761112258090317682,10.74,,,
0,1761112258079577107,1761112258090317682,10.74,1761112258094171873,14.59,N/A
0,1761112258290858806,1761112258295585156,4.73,,,
0,1761112258290858806,1761112258295585156,4.73,1761112258325512543,34.65,N/A
0,1761112258491190035,1761112258506020402,14.83,,,
0,1761112258491190035,1761112258506020402,14.83,1761112258523233024,32.04,N/A
0,1761112258666614347,1761112258670808670,4.19,,,
0,1761112258666614347,1761112258670808670,4.19,1761112258681793686,15.18,N/A
0,1761112258879866507,1761112258881947154,2.08,,,
0,1761112258879866507,1761112258881947154,2.08,1761112258898301167,18.43,N/A
0,1761112259062576418,1761112259067786348,5.21,,,
0,1761112259062576418,1761112259067786348,5.21,1761112259182618626,120.04,N/A
0,1761112259251453401,1761112259257057515,5.60,,,
0,1761112259251453401,1761112259257057515,5.60,1761112259273679515,22.23,N/A
0,1761112259417925797,1761112259444299541,26.37,,,
0,1761112259417925797,1761112259444299541,26.37,1761112259449787769,31.86,N/A
0,1761112259623448477,1761112259625176334,1.73,,,
0,1761112259623448477,1761112259625176334,1.73,1761112259641921597,18.47,N/A
0,1761112259836173918,1761112259838309186,2.14,,,
0,1761112259836173918,1761112259838309186,2.14,1761112259961950969,125.78,N/A
0,1761112260068768550,1761112260070240723,1.47,,,
0,1761112260068768550,1761112260070240723,1.47,1761112260091477714,22.71,N/A
0,1761112260290048728,1761112260291510519,1.46,,,
0,1761112260477660977,1761112260479270366,1.61,,,
0,1761112260477660977,1761112260479270366,1.61,1761112260506796759,29.14,N/A
0,1761112260729342982,1761112260733705325,4.36,,,
0,1761112260729342982,1761112260733705325,4.36,1761112260838266562,108.92,N/A
0,1761112260934655914,1761112260936066284,1.41,,,
0,1761112260934655914,1761112260936066284,1.41,1761112260971633167,36.98,N/A
