Waypoint_Timestamp_ns,Waypoint_Received_Latency_ms
1761114873431367282,1.20
1761114873741212254,7.30
1761114874057483376,1.18
1761114874345319240,1.13
1761114874568273784,1.15
1761114874833932065,8.10
1761114875161550553,1.30
1761114875472076681,2.22
1761114875776181373,1.98
1761114876070877184,1.50
1761114876314375357,1.11
1761114876558055918,1.76
1761114876799494296,1.12
1761114877015174038,1.32
1761114877256133726,3.51
1761114877499210902,1.37
1761114877795882037,1.55
1761114878111697802,1.35
1761114878409186886,0.93
1761114878750720749,5.90
1761114879076057015,1.26
1761114879303943173,1.81
1761114879542910969,1.25
1761114879752301850,2.66
1761114879989451329,1.11
1761114880248172294,4.21
1761114880501753429,3.27
1761114880753104371,4.91
1761114881067328355,4.35
1761114881379433815,2.49
1761114881791449581,1.20
1761114882133009287,2.51
1761114882405772830,1.58
1761114882683873157,1.61
1761114882981652490,3.46
1761114883298246946,1.30
1761114883569985647,1.69
1761114883861748999,1.47
1761114884142944722,1.35
1761114884426369612,1.41
1761114884730877812,3.59
1761114885072435793,1.36
1761114885415684448,1.24
1761114885726875938,1.12
1761114886028978152,1.23
1761114886363158782,3.75
1761114886646297110,1.40
1761114886944374606,1.11
1761114887221883461,3.15
1761114887516519611,0.73
1761114887768966189,1.24
1761114887993618030,1.66
1761114888239201164,5.74
1761114888503871481,2.65
1761114888762102470,2.30
1761114889033827970,4.96
1761114889310024486,2.22
1761114889569315172,1.10
1761114889817387337,3.15
1761114890088987444,6.12
1761114890331963225,4.61
1761114890574244422,1.42
1761114890806768306,0.91
1761114891033480293,1.34
1761114891250655926,1.47
1761114891473257168,1.54
1761114891766308486,1.28
1761114892032807447,2.06
1761114892327814763,2.82
1761114892623097323,3.02
1761114892869075730,0.92
1761114893128821385,1.29
1761114893400725998,2.10
1761114893659086957,1.84
1761114893921896474,1.13
1761114894148861316,2.13
1761114894418078213,2.81
1761114894655890520,2.49
1761114894963034267,8.85
1761114895326778915,6.37
1761114895640338902,4.99
1761114895910294899,7.69
1761114896178853140,1.01
1761114896436059259,2.00
1761114896669858569,1.21
1761114896924230664,11.42
1761114897176124968,1.34
1761114897415887061,2.22
1761114897660834419,1.07
1761114897927552107,2.88
1761114898164733935,3.74
1761114898465214282,4.33
1761114898783669444,3.24
1761114899132690172,2.23
1761114899423965557,2.84
1761114899629877216,1.59
1761114899893675646,1.35
1761114900160485269,1.72
1761114900431131451,1.23
1761114900660810537,1.83
1761114900922356671,1.85
1761114901183189111,1.22
1761114901444755686,2.58
1761114901777754513,6.20
1761114902012481322,5.66
1761114902239352694,4.40
1761114902561332448,4.11
1761114902815636478,1.39
1761114903059930949,1.09
1761114903312798874,9.18
1761114903568988296,1.16
1761114903801839051,1.42
1761114904073674230,1.31
1761114904322713359,1.10
1761114904597689577,1.04
1761114904883468275,1.32
1761114905192181596,1.57
1761114905471749193,7.12
1761114905732573409,1.50
1761114906030899617,3.45
1761114906347854246,1.76
1761114906586430612,1.02
1761114906840120738,2.35
1761114907128714261,6.82
1761114907391757776,3.48
1761114907691266962,1.42
1761114907929792852,0.75
1761114908234011082,2.29
1761114908579031183,1.12
1761114908815803910,1.60
1761114909063111932,2.69
1761114909357222636,3.19
1761114909609053918,1.04
1761114909870187146,5.47
1761114910110766905,1.99
1761114910344427766,1.55
1761114910572545309,3.50
1761114910833451460,1.59
1761114911070601003,1.11
1761114911307454992,2.99
1761114911563869298,3.61
1761114911819873420,3.47
1761114912084175810,2.48
1761114912333466443,0.92
1761114912590981341,3.18
1761114912842159239,1.16
1761114913063131885,1.70
1761114913316819947,3.13
1761114913581752866,5.38
1761114913840103725,1.95
1761114914090501860,1.73
1761114914307411645,1.03
1761114914523340786,1.22
1761114914793103378,3.61
1761114915091426171,1.64
1761114915394238229,3.95
1761114915740152967,6.12
1761114916018061833,3.48
1761114916260676353,1.43
1761114916499602644,1.04
1761114916745810997,1.98
1761114916979420560,6.81
1761114917204530970,1.72
1761114917443086185,5.58
1761114917704967887,1.10
1761114917925597314,1.16
1761114918213772874,4.76
1761114918516676189,2.71
1761114918799669014,1.76
1761114919059666392,1.81
1761114919322404376,0.64
1761114919545718918,0.89
1761114919778685526,3.48
1761114920022431916,2.51
1761114920271388720,0.87
1761114920506680156,3.69
1761114920748716626,2.28
1761114920976417106,2.56
1761114921225731178,1.88
1761114921496484996,1.06
1761114921741641203,1.27
1761114922007769571,3.64
1761114922291121612,1.61
1761114922569706346,1.45
1761114922794405957,2.08
1761114923035341181,1.15
1761114923280066924,6.58
1761114923546530047,6.23
1761114923783026574,1.55
1761114924013333424,2.14
1761114924255183753,3.33
1761114924522523379,3.26
1761114924999792515,1.85
1761114925352753054,1.22
1761114925698316137,5.02
1761114926137334714,1.25
1761114926789961616,4.57
1761114927197431478,1.40
1761114927593776015,4.28
1761114928161209505,6.87
1761114928589426657,4.52
1761114929297539077,1.93
1761114929745278437,1.21
1761114930144077336,1.16
1761114930616305503,2.58
1761114931117779550,3.57
1761114931445622899,2.39
1761114931737066701,1.26
1761114932046789539,4.84
1761114932361596397,1.10
1761114932599236193,1.22
1761114932838200334,2.52
1761114933310535368,2.14
1761114933690899484,1.81
1761114933921419623,1.38
1761114934248482947,2.16
1761114934593226177,1.94
1761114934852087834,0.79
1761114935136934610,4.79
1761114935428902371,5.75
1761114935720635098,4.43
1761114936032092539,17.87
1761114936383162179,3.70
1761114936672324465,5.91
1761114936890051110,8.97
1761114937134695820,1.14
1761114937397444664,1.62
1761114937638324022,2.45
1761114937921806061,2.81
1761114938202934893,4.44
1761114938436939768,2.58
1761114938684782362,0.89
1761114938980993150,5.13
1761114939263942637,1.19
1761114939518310916,5.24
1761114939850273670,2.37
1761114940122867618,1.34
1761114940353721390,3.60
1761114940582795894,1.02
1761114940819043557,0.88
1761114941053326171,1.34
1761114941280000046,0.82
1761114941511342583,1.10
1761114941755321937,1.99
1761114942062833674,5.15
1761114942355531365,2.01
1761114942599696046,4.56
1761114942839766352,2.17
1761114943111147187,2.92
1761114943345930004,2.47
1761114943591841972,2.35
1761114943817443591,2.16
1761114944087358254,1.55
1761114944391764240,2.38
1761114944588478724,1.19
1761114944852973717,1.15
1761114945203700843,14.19
1761114945566325710,1.55
1761114945913626447,2.04
1761114946222814666,7.16
1761114946555977476,2.61
1761114946825408265,3.84
1761114947174209564,1.38
1761114947496206715,4.78
1761114947825532484,1.21
1761114948099023578,3.12
1761114948325782593,1.65
1761114948579850387,7.73
1761114948866597170,1.50
1761114949199745400,1.38
1761114949520586706,1.71
1761114949849783346,4.81
1761114950149585353,1.41
1761114950407287553,3.35
1761114950634943802,1.49
1761114950872988149,1.33
1761114951384042544,1.29
1761114952386781472,4.07
1761114953054376830,1.92
1761114953368564097,1.18
1761114953678834173,1.27
1761114953931723767,3.47
1761114954233961857,7.18
1761114955216740701,1.28
1761114956138881696,19.75
1761114957048671165,9.01
1761114957835784783,23.98
1761114958598089619,8.48
1761114959063213197,3.36
1761114959366977984,1.46
1761114959690552098,1.18
1761114959919806184,1.29
1761114960175536001,1.81
1761114960412816193,4.09
1761114960672729034,2.17
1761114960913266810,2.01
1761114961580266799,2.75
1761114961918045255,3.94
1761114962228827063,2.82
1761114962579664784,1.48
1761114962953418992,2.50
1761114963221587676,4.86
1761114963466915738,1.86
1761114963713126659,3.35
1761114963972860132,1.75
1761114964260625969,1.25
1761114964508206138,1.08
1761114964850136534,2.34
1761114965151279567,1.63
1761114965425050106,2.36
1761114965672759922,1.22
1761114965951648253,6.97
1761114966206016942,0.69
1761114966453428005,2.46
1761114966723656091,1.89
1761114966968211259,8.86
1761114967217204028,1.04
1761114967453012572,1.62
1761114967684387700,2.55
1761114967911344663,1.27
1761114968179040702,5.54
1761114968452898811,5.25
1761114968724949186,1.88
1761114968998835511,1.24
1761114969241251365,0.92
1761114969464297544,2.29
1761114969706068166,1.12
1761114970031652911,1.29
1761114970414959726,1.59
1761114970730855117,1.88
1761114971033292045,8.12
1761114971351991498,1.54
1761114971724206432,3.03
1761114972078451017,1.04
1761114972361704115,1.99
1761114972590377528,2.71
1761114972795884484,3.35
1761114973088609032,2.25
1761114973337570726,2.17
1761114973637872503,4.98
1761114973907190268,1.20
1761114974175257087,2.45
1761114974436480403,1.39
1761114974741554259,5.31
1761114975066233320,5.80
1761114975336940644,1.82
1761114975650602233,1.51
1761114975970641379,2.06
1761114976215870038,2.15
1761114976478858187,2.88
1761114976738280939,2.37
1761114976993462527,2.56
1761114977322301216,8.22
1761114977567617362,1.14
1761114977816838072,1.74
1761114978093153726,3.48
1761114978369007017,1.44
1761114978627136302,4.42
1761114978920303535,3.37
1761114979219666517,1.30
1761114979478820548,0.85
1761114979723417210,2.14
1761114979962264711,1.08
1761114980196470522,1.00
1761114980407918572,2.40
1761114980639605658,1.18
1761114980884883687,1.95
1761114981102691606,6.49
1761114981370657921,4.50
1761114981661207019,1.28
1761114981930751396,7.78
1761114982245239405,5.70
1761114982491443275,2.22
1761114982761552108,4.04
1761114982999476756,1.53
1761114983307489812,1.03
1761114983546788355,1.55
1761114983795558866,1.71
1761114984094154898,1.52
1761114984412947199,9.60
1761114984856168361,3.49
1761114985150676758,8.83
1761114985374326637,2.34
1761114985609539434,1.18
1761114985899392526,1.48
1761114986165453177,1.33
1761114986423281628,1.15
1761114986660248185,2.57
1761114986852136433,1.33
1761114987066739581,11.73
1761114987385498105,1.13
1761114987608512674,1.53
1761114987916759583,9.02
1761114988217337912,2.10
1761114988483664036,4.27
1761114988806224592,1.27
1761114989096554318,1.51
1761114989348507512,2.00
1761114989589527635,2.06
1761114989838861881,1.68
1761114990075576324,1.13
1761114990348728771,2.93
1761114990621076617,1.60
1761114990826338916,3.01
1761114991099437211,1.13
1761114991372132740,1.09
1761114991618605652,4.54
1761114991903874071,2.69
1761114992243621391,5.06
1761114992506088173,2.10
1761114992756511262,0.99
1761114993011121007,1.84
1761114993278605503,8.54
1761114993514617886,3.88
1761114993768863605,1.58
1761114994012326650,2.73
1761114994243552935,1.59
1761114994506285359,3.00
1761114994771983309,3.55
1761114995060169087,1.88
1761114995473062981,3.14
1761114995775181485,7.19
1761114996043356274,1.62
1761114996311038034,3.71
1761114996640915931,5.23
1761114997332658786,1.75
1761114997815885951,5.37
1761114998098026626,1.20
1761114998410649137,10.25
1761114998822445773,7.68
1761114999123281288,1.08
1761114999387575772,1.30
1761114999619158852,1.29
1761114999865226343,4.85
1761115000093285424,3.08
1761115000324596441,2.12
1761115000560119715,1.29
1761115000817311113,1.72
