Timestamp,Frame(ms),Preprocess(ms),Inference(ms),GPS(ms),Total(ms),FPS,Lat,Lon
2025-10-30 14:45:35,212.00,3.55,16.22,1.81,212.27,4.72,12.97336,77.59268
2025-10-30 14:45:35,20.45,3.11,10.69,1.51,20.74,26.80,12.97337,77.59270
2025-10-30 14:45:36,17.71,2.12,10.32,0.81,17.95,36.69,12.97336,77.59267
2025-10-30 14:45:36,31.28,2.11,24.35,0.73,31.53,35.51,12.97336,77.59268
2025-10-30 14:45:36,21.55,2.28,14.10,1.36,21.82,37.69,12.97336,77.59270
2025-10-30 14:45:36,28.69,3.33,20.10,0.70,28.92,37.22,12.97336,77.59268
2025-10-30 14:45:36,17.52,1.85,11.49,0.70,17.76,40.05,12.97335,77.59273
2025-10-30 14:45:36,21.92,1.85,13.53,1.29,22.23,40.75,12.97334,77.59275
2025-10-30 14:45:36,21.00,1.89,12.58,0.62,21.28,41.51,12.97331,77.59270
2025-10-30 14:45:36,22.35,1.84,16.46,0.58,22.56,41.83,12.97325,77.59270
2025-10-30 14:45:36,26.44,1.85,19.97,0.83,26.70,41.47,12.97319,77.59274
2025-10-30 14:45:36,27.21,3.23,18.50,0.85,27.47,41.08,12.97309,77.59276
2025-10-30 14:45:36,28.26,1.95,21.04,0.86,28.48,40.64,12.97302,77.59274
2025-10-30 14:45:36,27.35,2.08,20.29,0.87,27.59,40.35,12.97307,77.59271
2025-10-30 14:45:36,29.12,2.89,20.90,0.64,29.36,39.95,12.97311,77.59271
2025-10-30 14:45:36,20.24,2.81,10.72,1.39,20.49,40.54,12.97317,77.59274
2025-10-30 14:45:36,20.24,3.14,10.68,0.93,20.50,41.06,12.97326,77.59275
2025-10-30 14:45:36,19.92,3.10,10.63,0.87,20.16,41.57,12.97333,77.59268
2025-10-30 14:45:36,20.31,3.52,10.67,0.83,20.59,41.97,12.97334,77.59268
2025-10-30 14:45:36,20.00,3.21,10.70,0.83,20.25,42.37,12.97335,77.59270
2025-10-30 14:45:36,21.17,3.89,10.63,0.92,21.46,42.60,12.97336,77.59267
2025-10-30 14:45:36,18.90,3.11,10.55,0.76,19.27,43.07,12.97336,77.59267
2025-10-30 14:45:36,23.63,2.40,13.97,1.62,23.91,43.04,12.97337,77.59266
2025-10-30 14:45:36,26.06,2.08,18.02,0.68,26.82,42.84,12.97336,77.59270
2025-10-30 14:45:36,28.92,3.31,19.91,0.99,29.73,42.51,12.97336,77.59277
2025-10-30 14:45:36,26.85,2.88,18.43,1.00,27.19,42.31,12.97336,77.59280
2025-10-30 14:45:36,24.91,1.97,17.58,0.67,25.18,42.23,12.97337,77.59285
2025-10-30 14:45:36,22.98,1.95,16.26,0.74,23.24,42.28,12.97336,77.59310
2025-10-30 14:45:36,24.60,2.04,17.78,1.16,24.86,42.22,12.97336,77.59424
2025-10-30 14:45:37,24.61,2.69,16.08,2.22,24.87,42.17,12.97336,77.59424
2025-10-30 14:45:37,24.00,2.23,17.37,0.89,24.22,43.40,12.97336,77.59425
2025-10-30 14:45:37,24.43,1.93,16.95,1.63,24.68,43.13,12.97336,77.59429
2025-10-30 14:45:37,20.86,2.24,10.45,2.87,21.19,42.85,12.97336,77.59426
2025-10-30 14:45:37,20.72,1.88,13.95,1.41,20.95,43.39,12.97336,77.59428
2025-10-30 14:45:37,18.31,2.16,10.31,2.14,18.54,43.67,12.97336,77.59426
2025-10-30 14:45:37,18.91,2.09,10.22,2.56,19.15,44.27,12.97336,77.59428
2025-10-30 14:45:37,18.12,2.32,10.32,1.49,18.36,44.20,12.97340,77.59608
2025-10-30 14:45:37,19.04,2.54,10.35,1.46,19.29,44.43,12.97340,77.59617
2025-10-30 14:45:37,19.21,2.72,10.52,1.38,19.46,44.58,12.97340,77.59620
2025-10-30 14:45:37,18.33,2.47,10.49,1.08,18.55,44.91,12.97340,77.59625
2025-10-30 14:45:37,19.09,2.77,10.47,0.85,19.35,45.40,12.97337,77.59272
2025-10-30 14:45:37,19.09,2.69,10.39,1.34,19.34,45.92,12.97339,77.59630
2025-10-30 14:45:37,18.63,2.57,10.34,1.31,18.95,46.53,12.97341,77.59634
2025-10-30 14:45:37,19.18,2.68,10.52,1.29,19.42,47.05,12.97340,77.59637
2025-10-30 14:45:37,24.52,2.67,15.58,1.62,24.78,47.26,12.97340,77.59638
2025-10-30 14:45:37,31.77,2.67,21.51,2.22,32.27,46.66,12.97332,77.59637
2025-10-30 14:45:37,22.30,2.60,13.32,1.84,22.54,46.51,12.97336,77.59639
2025-10-30 14:45:37,20.49,2.10,13.20,1.77,20.72,46.46,12.97336,77.59639
2025-10-30 14:45:37,20.29,2.35,11.83,2.47,20.51,46.47,12.97330,77.59639
2025-10-30 14:45:37,20.81,2.32,12.98,0.77,21.07,46.40,12.97293,77.59276
2025-10-30 14:45:37,26.46,2.10,19.39,0.71,26.73,46.09,12.97282,77.59270
2025-10-30 14:45:37,23.70,1.97,16.96,0.83,23.96,45.73,12.97282,77.59272
2025-10-30 14:45:37,31.33,2.76,23.04,1.45,31.58,45.38,12.97296,77.59278
2025-10-30 14:45:37,23.65,1.98,17.39,0.89,23.88,45.51,12.97308,77.59271
2025-10-30 14:45:37,26.24,2.00,17.60,2.17,26.63,45.63,12.97219,77.59272
2025-10-30 14:45:37,26.51,2.01,17.17,1.80,26.83,45.65,12.97324,77.59269
2025-10-30 14:45:38,28.57,4.58,18.58,0.82,28.86,45.48,12.97329,77.59275
